,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
180,Jutiapa,14.310000000053364,-89.97000000008188,72.14,80.0,20.0,4.07,GT,2021-04-24 01:52:18
181,Astana,51.230000000072266,71.98999999977082,32.0,55.0,0.0,8.95,KZ,2021-04-24 01:52:18
182,Qusar,41.500000000067274,48.49999999979218,45.21,71.0,59.0,4.54,AZ,2021-04-24 01:52:18
183,Wagar,16.380000000054423,37.40999999980227,85.08,39.0,88.0,2.89,SD,2021-04-24 01:52:19
184,Palaikastron,35.130000000064015,26.29999999981237,62.94,51.0,100.0,6.89,GR,2021-04-24 01:52:19
185,Zhob,31.140000000061974,69.87999999977274,62.8,44.0,0.0,1.48,PK,2021-04-24 01:52:19
186,Lafiagi,8.550000000050417,5.859999999830961,80.91,67.0,100.0,2.62,NG,2021-04-24 01:52:20
187,Sur,19.840000000056193,59.96999999978175,84.74,33.0,0.0,6.6,OM,2021-04-24 01:47:26
188,Cururupu,-0.8599999999543968,-43.69000000012397,74.03,98.0,96.0,2.98,BR,2021-04-24 01:52:21
189,Turayf,32.530000000062685,40.19999999979973,69.8,28.0,0.0,11.5,SA,2021-04-24 01:52:21
190,Llanes,43.300000000068195,-4.8000000001593435,59.65,71.0,68.0,7.87,ES,2021-04-24 01:52:21
191,Garissa,-0.06999999995399264,38.949999999800866,77.97,80.0,51.0,8.59,KE,2021-04-24 01:52:22
192,La rioja,-28.219999999968394,-68.25000000010164,53.01,62.0,0.0,11.5,ES,2021-04-24 01:52:22
193,Vaini,-82.61999999999622,-168.3500000000106,86.0,74.0,20.0,6.91,TO,2021-04-24 01:47:59
194,Bulgan,48.550000000070895,102.1299999997434,30.38,91.0,100.0,5.75,MN,2021-04-24 01:52:23
195,Klaksvik,72.54000000008315,-5.440000000158761,42.8,100.0,90.0,4.61,FO,2021-04-24 01:49:04
196,Vilhena,-12.329999999960265,-60.65000000010855,72.75,83.0,94.0,3.15,BR,2021-04-24 01:51:59
197,Mari-turek,56.980000000075194,49.60999999979117,38.93,94.0,69.0,7.38,RU,2021-04-24 01:52:23
198,Bambous virieux,-24.619999999966552,70.56999999977211,78.8,89.0,40.0,11.5,MU,2021-04-24 01:52:24
199,Leningradskiy,73.24000000008351,179.11999999967338,29.35,85.0,96.0,5.66,RU,2021-04-24 01:47:26
200,Whitehorse,62.0800000000778,-132.57000000004314,48.2,23.0,1.0,6.91,CA,2021-04-24 01:53:25
201,Thompson,73.87000000008385,-98.22000000007438,24.8,39.0,20.0,11.5,CA,2021-04-24 01:44:53
202,Ocala,29.090000000060925,-82.11000000008903,73.4,64.0,20.0,9.22,US,2021-04-24 01:49:32
203,Mandera,3.4000000000477826,40.56999999979939,79.29,73.0,87.0,4.05,KE,2021-04-24 01:53:26
204,Port hardy,47.38000000007028,-134.6900000000412,51.8,76.0,90.0,4.61,CA,2021-04-24 01:49:15
205,Vanavara,62.64000000007809,103.2399999997424,35.85,79.0,100.0,0.87,RU,2021-04-24 01:53:27
206,Port lincoln,-41.22999999997505,131.0599999997171,63.9,59.0,59.0,6.4,AU,2021-04-24 01:53:27
207,Parker,39.53000000006625,-104.41000000006875,66.0,94.0,98.0,1.01,US,2021-04-24 01:53:27
208,Axim,0.7200000000464115,-2.2500000001616627,81.77,80.0,100.0,7.47,GH,2021-04-24 01:48:13
209,Chokurdakh,87.02000000009056,150.2899999996996,9.88,85.0,18.0,1.41,RU,2021-04-24 01:48:41
210,Ternate,3.540000000047854,130.049999999718,84.16,73.0,20.0,7.52,ID,2021-04-24 01:51:06
211,Caucaia,-1.7899999999548726,-37.14000000012993,82.0,89.0,75.0,3.44,BR,2021-04-24 01:53:28
212,Scarborough,54.77000000007405,-0.19000000016353624,42.01,65.0,100.0,1.5,GB,2021-04-24 01:51:38
213,Ruangwa,-9.929999999959037,38.42999999980134,68.83,95.0,76.0,4.05,TZ,2021-04-24 01:53:29
214,Eyl,6.1500000000491895,53.14999999978795,82.4,75.0,85.0,6.85,SO,2021-04-24 01:53:29
215,Ewa beach,16.560000000054515,-159.15000000001896,82.4,51.0,75.0,12.66,US,2021-04-24 01:53:30
216,Mitsamiouli,-7.299999999957691,44.339999999795964,80.6,80.0,75.0,14.07,KM,2021-04-24 01:53:30
217,Geraldton,-32.01999999997034,97.22999999974786,75.2,43.0,0.0,6.91,AU,2021-04-24 01:48:21
218,Walvis bay,-25.409999999966956,5.059999999831689,60.01,94.0,5.0,3.44,NA,2021-04-24 01:53:31
219,Yerbogachen,65.10000000007935,106.39999999973952,37.44,68.0,19.0,8.75,RU,2021-04-24 01:52:15
220,Port-gentil,0.0800000000460841,4.089999999832571,81.01,78.0,100.0,5.84,GA,2021-04-24 01:52:14
